,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_d_c,param_eps,param_l_r,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32,9.069168663024902,2.0935109822259252,0.10495204925537109,0.014711840504722016,0.0005,0.1,0.01,"{'d_c': 0.0005, 'eps': 0.1, 'l_r': 0.01}",-0.09206091039580258,-0.1317742031646628,-0.23813820697124893,-0.2314288831514181,-0.10769890282881148,-0.16022022130238878,0.06221775071212001,3
33,6.412508869171143,2.1307744294701725,0.11066136360168458,0.025933417774688466,0.0005,0.1,0.05,"{'d_c': 0.0005, 'eps': 0.1, 'l_r': 0.05}",-0.09862969258783333,-0.13320766311245272,-0.2295973639823601,-0.2542752712255577,-0.12296377194523826,-0.16773475257068843,0.06211008611744266,20
34,7.1177881240844725,1.8001534436475723,0.11567788124084473,0.007810508961922031,0.0005,0.1,0.1,"{'d_c': 0.0005, 'eps': 0.1, 'l_r': 0.1}",-0.1272805372910941,-0.12685593439510987,-0.2307222703595342,-0.25398265813664184,-0.129327566678895,-0.17363379337225499,0.05659482032353772,35
35,8.382943725585937,1.8376398264007365,0.12452664375305175,0.01263423861200937,0.0005,0.1,0.5,"{'d_c': 0.0005, 'eps': 0.1, 'l_r': 0.5}",-0.1050290392579518,-0.14165505884546,-0.2895952615767395,-0.25087677188837576,-0.12211893837621789,-0.181855013988949,0.07410617994515943,44
36,7.434514570236206,1.674039031216034,0.09874334335327148,0.005563194787129243,0.0001,1e-07,0.01,"{'d_c': 0.0001, 'eps': 1e-07, 'l_r': 0.01}",-0.11290707007129648,-0.12048785771825407,-0.23454021663834554,-0.23265117068421082,-0.12681192754365667,-0.1654796485311527,0.05579373683216282,14
37,8.854411697387695,2.1585221384470814,0.11108245849609374,0.017450270304243825,0.0001,1e-07,0.05,"{'d_c': 0.0001, 'eps': 1e-07, 'l_r': 0.05}",-0.10280050919527038,-0.13263903820773854,-0.23196676762630025,-0.24324659474812607,-0.10472197828907552,-0.16307497761330214,0.061867596374704036,5
38,6.944688034057617,1.8532018159141017,0.0956815242767334,0.006447734016850692,0.0001,1e-07,0.1,"{'d_c': 0.0001, 'eps': 1e-07, 'l_r': 0.1}",-0.12320819115016585,-0.14111116335350238,-0.22319063609640105,-0.24422884098841624,-0.1279160597761408,-0.17193097827292525,0.051216437791716043,32
39,7.666619443893433,2.3952630347694046,0.10784764289855957,0.006608696491817924,0.0001,1e-07,0.5,"{'d_c': 0.0001, 'eps': 1e-07, 'l_r': 0.5}",-0.17281397771417248,-0.28342566117960805,-0.36309430652924024,-0.30846919071371354,-0.19914413341750467,-0.2653894539108478,0.0702653086538935,58
40,6.900695896148681,1.8498982926461696,0.10912322998046875,0.014961926033810292,0.0001,0.0001,0.01,"{'d_c': 0.0001, 'eps': 0.0001, 'l_r': 0.01}",-0.11135338249427508,-0.13464801992309763,-0.26356621012235454,-0.23463776254803065,-0.12661223006242173,-0.17416352103003593,0.06231803640586754,37
41,8.801921892166138,2.2244817513271284,0.10337738990783692,0.013271991666764333,0.0001,0.0001,0.05,"{'d_c': 0.0001, 'eps': 0.0001, 'l_r': 0.05}",-0.13644254197270664,-0.15043165160507335,-0.23956453333296926,-0.22875620926629392,-0.1056102819493577,-0.17216104362528017,0.05276973548583788,33
